words,occurrences,frequency
forme,4200,0.15248595676950513
sécurité,4183,0.15186875170639047
directeur,4181,0.15179613934602404
résultat,4170,0.15139677136400867
centre,4157,0.15092479102162687
exemple,4141,0.15034389213869542
niveau,4128,0.14987191179631362
patient,4087,0.1483833584088018
septembre,4073,0.14787507188623678
novembre,4069,0.1477298471655039
raison,4044,0.1468221926609235
bac,4025,0.1461323752374424
mars,4020,0.14595084433652633
mort,4004,0.14536994545359488
idée,3986,0.144716434210297
politique,3960,0.1437724735255334
débat,3949,0.14337310554351804
population,3938,0.14297373756150267
prix,3937,0.14293743138131945
gauche,3919,0.14228392013802157
république,3912,0.14202977687673907
décembre,3872,0.14057752966941045
région,3857,0.14003293696666222
décision,3831,0.13908897628189862
chose,3781,0.13727366727273785
professeur,3774,0.1370195240114553
ministère,3764,0.13665646220962316
octobre,3763,0.13662015602943994
français,3758,0.13643862512852387
police,3758,0.13643862512852387
enseignant,3722,0.1351316026419281
cadre,3717,0.13495007174101203
député,3715,0.1348774593806456
juin,3703,0.13444178521844702
cause,3701,0.1343691728580806
information,3693,0.13407872341661486
violence,3660,0.13288061947056876
terme,3655,0.13269908856965268
problème,3633,0.13190035260562194
organisation,3631,0.1318277402452555
justice,3606,0.13092008574067512
avocat,3579,0.1299398188757283
site,3561,0.12928630763243043
chercheur,3517,0.12768883570436895
équipe,3508,0.12736208008272001
élection,3457,0.125510464893376
médecin,3454,0.12540154635282635
force,3448,0.12518370927172706
ligne,3438,0.12482064746989492
membre,3436,0.12474803510952849
maladie,3420,0.12416713622659703
marché,3414,0.12394929914549774
programme,3406,0.12365884970403201
produit,3392,0.123150563181467
classe,3382,0.12278750137963484
dossier,3368,0.12227921485706983
sein,3365,0.12217029631652018
enseignement,3359,0.12195245923542089
article,3332,0.12097219237047407
mardi,3330,0.12089958001010764
ensemble,3295,0.1196288637036951
victime,3287,0.11933841426222937
liberté,3281,0.11912057718113007
ce,3246,0.11784986087471754
besoin,3240,0.11763202379361824
nom,3221,0.11694220637013715
mise,3219,0.11686959400977072
texte,3217,0.11679698164940429
activité,3208,0.11647022602775535
état,3200,0.11617977658628963
tour,3188,0.11574410242409104
juillet,3175,0.11527212208170924
moyen,3168,0.11501797882042673
tête,3138,0.11392879341493026
hôpital,3137,0.11389248723474704
examen,3136,0.11385618105456383
jeudi,3125,0.11345681307254846
réseau,3109,0.11287591418961701
autorité,3085,0.11200456586521984
juge,3085,0.11200456586521984
lundi,3081,0.11185934114448698
milliard,3080,0.11182303496430376
parent,3033,0.11011664449569264
condition,3029,0.10997141977495978
ordre,3018,0.10957205179294441
appel,3018,0.10957205179294441
plan,3011,0.1093179085316619
image,2999,0.1088822343694633
agence,2980,0.10819241694598221
manière,2962,0.10753890570268433
eau,2956,0.10732106862158504
mouvement,2952,0.10717584390085218
