words,occurrences,frequency
lequel,5842,0.07782749127571408
également,5827,0.07762766033269188
cours,5805,0.07733457494959264
sujet,5747,0.07656189530324013
groupe,5732,0.07636206436021792
beaucoup,5704,0.0759890465999098
gouvernement,5615,0.07480338300464474
service,5607,0.07469680650169956
donner,5587,0.07443036524433662
rapport,5562,0.07409731367263295
société,5545,0.07387083860387446
mesure,5540,0.07380422828953372
association,5490,0.07313812514612637
affaire,5481,0.07301822658031305
partie,5469,0.0728583618258953
face,5442,0.07249866612845533
campagne,5439,0.07245869993985089
formation,5414,0.07212564836814721
entreprise,5319,0.07086005239567326
lieu,5316,0.07082008620706882
point,5214,0.06946123579451784
reste,5203,0.06931469310296823
explique,5189,0.06912818422281417
connaître,5186,0.06908821803420973
crise,5142,0.06850204726801126
jamais,5074,0.06759614699297728
conseil,5070,0.06754285874150469
histoire,5046,0.06722312923266917
début,5046,0.06722312923266917
recherche,5035,0.06707658654111955
droite,5009,0.06673021290654772
famille,5005,0.06667692465507515
rien,4946,0.06589092294585447
agir,4935,0.06574438025430486
enquête,4930,0.06567776993996412
semaine,4904,0.06533139630539231
établissement,4867,0.06483847997927086
parti,4784,0.06373274876121468
a,4763,0.0634529854409836
annoncer,4710,0.0627469161089718
ici,4707,0.06270694992036736
partir,4702,0.06264033960602663
près,4671,0.06222735565711408
nombreux,4666,0.06216074534277335
côté,4663,0.06212077915416891
puis,4654,0.06200088058835559
science,4638,0.061787727582465236
trouver,4632,0.061707795205256356
ailleurs,4602,0.06130813331921195
tenir,4594,0.061201556816266774
part,4575,0.06094843762177198
macron,4528,0.06032230066696908
forme,4511,0.060095825598210584
bac,4507,0.06004253734673799
ville,4499,0.05993596084379282
ni,4458,0.059389756266198794
système,4458,0.059389756266198794
souvent,4455,0.059349790077594354
mort,4449,0.059269857700385474
république,4441,0.0591632811974403
sanitaire,4418,0.05885687375147292
tel,4361,0.05809751616798855
comme,4330,0.057684532219076
chef,4326,0.057631243967603406
publier,4303,0.05732483652163603
gauche,4294,0.05720493795582271
long,4281,0.0570317511385368
trop,4262,0.05677863194404201
directeur,4243,0.056525512749547216
situation,4226,0.05629903768078872
moment,4211,0.05609920673776651
demander,4210,0.05608588467489837
sécurité,4196,0.05589937579474431
résultat,4170,0.0555530021601725
suivre,4169,0.055539680097304346
rester,4165,0.05548639184583176
centre,4164,0.05547306978296361
fort,4153,0.055326527091413995
exemple,4141,0.055166662336996235
attendre,4134,0.0550734078969192
appeler,4133,0.05506008583405106
autant,4133,0.05506008583405106
niveau,4128,0.05499347551971032
patient,4117,0.05484693282816071
demande,4097,0.05458049157079777
septembre,4073,0.054260762061962245
lancer,4073,0.054260762061962245
novembre,4070,0.054220795873357805
international,4063,0.05412754143328078
raison,4059,0.05407425318180819
rappeler,4024,0.053607980981423047
mars,4023,0.0535946589185549
porter,4015,0.053488082415609726
important,4009,0.053408150038400846
créer,3993,0.053194997032510495
enseignant,3989,0.05314170878103791
idée,3986,0.05310174259243347
moyen,3983,0.05306177640382903
débat,3951,0.05263547039204833
répondre,3946,0.05256886007770759
population,3943,0.05252889388910315
prix,3938,0.05246228357476242
comment,3935,0.05242231738615798
europe,3922,0.052249130568872065
désormais,3903,0.051996011374377274
décembre,3878,0.0516629598026736
scientifique,3869,0.05154306123686028
région,3867,0.05151641711112399
chose,3841,0.05117004347655217
ouvrir,3833,0.051063466973606995
décision,3831,0.0510368228478707
cadre,3782,0.0503840417673315
professeur,3780,0.05035739764159521
police,3777,0.05031743145299077
professionnel,3770,0.05022417701291374
octobre,3764,0.05014424463570486
ministère,3764,0.05014424463570486
retrouver,3739,0.04981119306400119
juin,3721,0.04957139593237454
américain,3716,0.04950478561803381
député,3715,0.04949146355516566
cause,3710,0.04942485324082493
emmanuel,3703,0.0493315988007479
information,3699,0.04927831054927531
présenter,3670,0.048891970726099056
