words,occurrences,frequency
lourdement,138,0.02297075057759786
radicalement,138,0.02297075057759786
spécifiquement,137,0.02280429586326744
quoi,137,0.02280429586326744
entretemps,137,0.02280429586326744
vivement,135,0.0224713864346066
éventuellement,132,0.021972022291615344
personnellement,131,0.021805567577284923
violemment,128,0.021306203434293666
visiblement,127,0.021139748719963245
vraisemblablement,126,0.020973294005632828
formellement,126,0.020973294005632828
traditionnellement,125,0.02080683929130241
franchement,125,0.02080683929130241
constamment,123,0.02047392986264157
fermement,122,0.02030747514831115
intégralement,121,0.020141020433980732
localement,121,0.020141020433980732
sensiblement,119,0.019808111005319894
explicitement,113,0.018809382719337377
durement,112,0.018642928005006956
simultanément,111,0.01847647329067654
spécialement,111,0.01847647329067654
automatiquement,110,0.01831001857634612
gratuitement,109,0.0181435638620157
tu,109,0.0181435638620157
activement,109,0.0181435638620157
evidemment,108,0.017977109147685282
grièvement,107,0.01781065443335486
discrètement,105,0.017477745004694022
tardivement,104,0.017311290290363605
significativement,103,0.017144835576033184
proprement,103,0.017144835576033184
apparemment,102,0.016978380861702766
doucement,101,0.016811926147372345
légalement,100,0.016645471433041927
littéralement,99,0.016479016718711506
soigneusement,97,0.016146107290050667
juridiquement,95,0.01581319786138983
cidessous,93,0.015480288432728992
dorénavant,93,0.015480288432728992
temporairement,92,0.015313833718398572
sévèrement,91,0.015147379004068153
théoriquement,90,0.014980924289737733
sereinement,90,0.014980924289737733
étroitement,89,0.014814469575407314
dément,89,0.014814469575407314
insuffisamment,89,0.014814469575407314
précédemment,89,0.014814469575407314
aisément,88,0.014648014861076895
drastiquement,88,0.014648014861076895
infiniment,88,0.014648014861076895
résolument,87,0.014481560146746475
deçà,85,0.014148650718085638
logiquement,85,0.014148650718085638
puis,83,0.0138157412894248
sexuellement,83,0.0138157412894248
génétiquement,82,0.01364928657509438
nullement,81,0.01348283186076396
éminemment,80,0.013316377146433541
sciemment,77,0.012817013003442283
fondamentalement,77,0.012817013003442283
mécaniquement,77,0.012817013003442283
individuellement,77,0.012817013003442283
mêmes,76,0.012650558289111864
dessus,76,0.012650558289111864
est,76,0.012650558289111864
incontestablement,75,0.012484103574781445
confortant,75,0.012484103574781445
brièvement,74,0.012317648860451025
indépendamment,74,0.012317648860451025
conjointement,74,0.012317648860451025
scientifiquement,72,0.011984739431790186
qu',72,0.011984739431790186
techniquement,69,0.01148537528879893
économiquement,68,0.01131892057446851
illégalement,67,0.011152465860138091
soient,67,0.011152465860138091
délibérément,65,0.010819556431477253
indirectement,65,0.010819556431477253
sauf,65,0.010819556431477253
psychologiquement,65,0.010819556431477253
cruellement,65,0.010819556431477253
décidément,63,0.010486647002816414
acharnement,63,0.010486647002816414
jadis,62,0.010320192288485994
vu,61,0.010153737574155575
symboliquement,61,0.010153737574155575
impérativement,60,0.009987282859825156
super,59,0.009820828145494736
egalement,58,0.009654373431164317
carrément,58,0.009654373431164317
fièrement,58,0.009654373431164317
obligatoirement,58,0.009654373431164317
exceptionnellement,58,0.009654373431164317
médicalement,58,0.009654373431164317
grandement,58,0.009654373431164317
légitimement,58,0.009654373431164317
mesure,58,0.009654373431164317
soudainement,57,0.009487918716833897
unanimement,55,0.00915500928817306
outre,55,0.00915500928817306
harcèlement,54,0.008988554573842641
tranquillement,54,0.008988554573842641
intimement,54,0.008988554573842641
moralement,54,0.008988554573842641
inévitablement,54,0.008988554573842641
brusquement,53,0.008822099859512222
quoique,53,0.008822099859512222
positivement,53,0.008822099859512222
singulièrement,53,0.008822099859512222
solennellement,52,0.008655645145181802
emballement,52,0.008655645145181802
lallement,52,0.008655645145181802
aucunement,52,0.008655645145181802
priori,52,0.008655645145181802
prioritairement,52,0.008655645145181802
inversement,52,0.008655645145181802
artificiellement,51,0.008489190430851383
fraîchement,50,0.008322735716520964
nouvellement,49,0.008156281002190544
deuxièmement,49,0.008156281002190544
implicitement,48,0.007989826287860125
minima,48,0.007989826287860125
possiblement,48,0.007989826287860125
entredeuxtours,48,0.007989826287860125
premièrement,48,0.007989826287860125
terriblement,48,0.007989826287860125
statistiquement,48,0.007989826287860125
pénalement,48,0.007989826287860125
alias,47,0.007823371573529705
successivement,47,0.007823371573529705
fois,47,0.007823371573529705
intellectuellement,46,0.007656916859199286
prou,46,0.007656916859199286
faiblement,46,0.007656916859199286
quid,45,0.007490462144868867
abondamment,44,0.007324007430538447
prudemment,44,0.007324007430538447
favorablement,44,0.007324007430538447
préalablement,44,0.007324007430538447
inlassablement,44,0.007324007430538447
sobrement,44,0.007324007430538447
prétendument,43,0.007157552716208029
mutuellement,43,0.007157552716208029
clivant,42,0.0069910980018776095
inutilement,42,0.0069910980018776095
frontalement,42,0.0069910980018776095
intelligent,41,0.00682464328754719
opportunément,41,0.00682464328754719
assurément,41,0.00682464328754719
couramment,41,0.00682464328754719
provisoirement,41,0.00682464328754719
curieusement,41,0.00682464328754719
patiemment,41,0.00682464328754719
dangereusement,40,0.006658188573216771
communément,40,0.006658188573216771
étonnamment,40,0.006658188573216771
doublement,39,0.006491733858886351
amont,39,0.006491733858886351
farouchement,39,0.006491733858886351
attentivement,39,0.006491733858886351
méthodiquement,39,0.006491733858886351
subitement,39,0.006491733858886351
tristement,39,0.006491733858886351
finement,38,0.006325279144555932
cost,38,0.006325279144555932
pertinent,38,0.006325279144555932
hyper,38,0.006325279144555932
temps,38,0.006325279144555932
calmement,37,0.006158824430225513
objectivement,37,0.006158824430225513
annuellement,36,0.005992369715895093
catégoriquement,36,0.005992369715895093
fioul,36,0.005992369715895093
incroyablement,36,0.005992369715895093
sûre,36,0.005992369715895093
nommément,36,0.005992369715895093
ponctuellement,36,0.005992369715895093
anciennement,36,0.005992369715895093
indéfiniment,35,0.005825915001564675
anormalement,35,0.005825915001564675
froidement,35,0.005825915001564675
indéniablement,35,0.005825915001564675
sincèrement,34,0.005659460287234255
séparément,34,0.005659460287234255
clandestinement,34,0.005659460287234255
vaguement,34,0.005659460287234255
modestement,34,0.005659460287234255
scrupuleusement,34,0.005659460287234255
sèchement,33,0.005493005572903836
évitement,33,0.005493005572903836
pudiquement,33,0.005493005572903836
désespérément,32,0.0053265508585734166
faussement,32,0.0053265508585734166
professionnellement,32,0.0053265508585734166
notoirement,32,0.0053265508585734166
injustement,32,0.0053265508585734166
déconfinement,32,0.0053265508585734166
raisonnablement,32,0.0053265508585734166
minutieusement,31,0.005160096144242997
intrinsèquement,31,0.005160096144242997
ci,31,0.005160096144242997
bénévolement,31,0.005160096144242997
dûment,30,0.004993641429912578
idéalement,30,0.004993641429912578
typiquement,30,0.004993641429912578
humainement,29,0.0048271867155821584
âgée,29,0.0048271867155821584
structurellement,29,0.0048271867155821584
continuellement,29,0.0048271867155821584
démocratiquement,28,0.004660732001251739
anglais,28,0.004660732001251739
ostensiblement,28,0.004660732001251739
proportionnellement,28,0.004660732001251739
géographiquement,28,0.004660732001251739
excessivement,28,0.004660732001251739
sitôt,28,0.004660732001251739
rigoureusement,27,0.0044942772869213206
miraculeusement,27,0.0044942772869213206
troisièmement,27,0.0044942772869213206
écologiquement,27,0.0044942772869213206
ardemment,27,0.0044942772869213206
précocement,27,0.0044942772869213206
âprement,27,0.0044942772869213206
vigoureusement,27,0.0044942772869213206
culturellement,27,0.0044942772869213206
ultérieurement,27,0.0044942772869213206
décomplexé,26,0.004327822572590901
qui,26,0.004327822572590901
techno,26,0.004327822572590901
unilatéralement,25,0.004161367858260482
rétrospectivement,25,0.004161367858260482
espère,25,0.004161367858260482
quelquefois,25,0.004161367858260482
honnêtement,25,0.004161367858260482
stupeur,25,0.004161367858260482
idéologiquement,25,0.004161367858260482
recueillement,25,0.004161367858260482
savamment,24,0.003994913143930062
dernièrement,24,0.003994913143930062
extraordinairement,24,0.003994913143930062
dehors,24,0.003994913143930062
amplement,24,0.003994913143930062
timidement,23,0.003828458429599643
matériellement,23,0.003828458429599643
mentalement,23,0.003828458429599643
anonymement,23,0.003828458429599643
grandeur,23,0.003828458429599643
inégalement,22,0.0036620037152692237
péniblement,22,0.0036620037152692237
éparpillement,22,0.0036620037152692237
poliment,22,0.0036620037152692237
instantanément,22,0.0036620037152692237
nordest,22,0.0036620037152692237
passablement,22,0.0036620037152692237
sûr,21,0.0034955490009388047
bruyamment,21,0.0034955490009388047
convenablement,21,0.0034955490009388047
prématurément,21,0.0034955490009388047
business,21,0.0034955490009388047
maladroitement,21,0.0034955490009388047
militairement,21,0.0034955490009388047
vertement,21,0.0034955490009388047
dénigrement,21,0.0034955490009388047
habilement,21,0.0034955490009388047
administrativement,21,0.0034955490009388047
inconsciemment,20,0.0033290942866083854
virtuellement,20,0.0033290942866083854
ironiquement,20,0.0033290942866083854
gentiment,20,0.0033290942866083854
google,20,0.0033290942866083854
pnat,20,0.0033290942866083854
alentour,20,0.0033290942866083854
démunis,20,0.0033290942866083854
indûment,20,0.0033290942866083854
équivalent,20,0.0033290942866083854
assourdissant,20,0.0033290942866083854
méticuleusement,20,0.0033290942866083854
