words,occurrences,frequency
concerner,2641,0.220408619721272
perdre,2613,0.2180718376871199
estimer,2594,0.21648616416394528
penser,2577,0.21506740364321011
ajouter,2574,0.21481703413955094
engager,2506,0.20914199205661022
décider,2480,0.2069721230248976
relever,2364,0.19729116888341044
souligne,2279,0.19019736627973452
produire,2279,0.19019736627973452
soutenir,2269,0.18936280126753735
assure,2249,0.187693671243143
poser,2245,0.18735984523826413
découvrir,2198,0.18343738968093745
apprendre,2184,0.18226899866386143
développer,2182,0.18210208566142197
apparaître,2145,0.17901419511629246
réduire,2144,0.17893073861507275
charger,2138,0.17842999960775444
condamner,2132,0.17792926060043615
tenter,2122,0.17709469558823898
précise,2084,0.17392334854188973
semble,2063,0.17217076201627568
éviter,2050,0.17108582750041937
reprendre,2029,0.16933324097480532
remettre,1977,0.16499350291138004
conduire,1975,0.1648265899089406
finir,1953,0.16299054688210685
inscrire,1948,0.16257326437600825
viser,1948,0.16257326437600825
continuer,1938,0.16173869936381108
placer,1896,0.158233526312583
offrir,1886,0.15739896130038583
préciser,1884,0.15723204829794638
révéler,1881,0.15698167879428723
affirmer,1865,0.15564637477477178
servir,1842,0.15372687524671827
former,1830,0.15272539723208167
augmenter,1828,0.15255848422964224
raconte,1807,0.1508058977040282
aider,1803,0.15047207169914933
participer,1786,0.14905331117841414
protéger,1784,0.1488863981759747
chercher,1782,0.14871948517353528
jouer,1778,0.1483856591686564
sentir,1777,0.14830220266743668
souhaiter,1768,0.14755109415645923
tuer,1761,0.14696689864792123
entrer,1750,0.14604887713450435
toucher,1749,0.14596542063328463
confier,1745,0.14563159462840575
arrêter,1737,0.14496394261864803
intégrer,1735,0.14479702961620858
réussir,1727,0.14412937760645086
construire,1722,0.14371209510035227
compter,1716,0.14321135609303398
imposer,1707,0.14246024758205653
donne,1704,0.14220987807839736
installer,1700,0.1418760520735185
existe,1696,0.14154222606863964
évoquer,1690,0.14104148706132133
partager,1681,0.14029037855034387
naître,1674,0.13970618304180588
voter,1663,0.138788161528389
espérer,1653,0.13795359651619182
ajoute,1652,0.1378701400149721
représenter,1628,0.13586718398569889
bénéficier,1613,0.13461533646740315
affirme,1610,0.134364966963744
consacrer,1606,0.13403114095886512
accuser,1605,0.1339476844576454
confirmer,1595,0.13311311944544824
accepter,1594,0.13302966294422852
mourir,1592,0.1328627499417891
paraître,1590,0.13269583693934967
établir,1587,0.1324454674356905
payer,1586,0.13236201093447078
constituer,1582,0.13202818492959192
renforcer,1573,0.13127707641861447
accueillir,1567,0.13077633741129618
interdire,1562,0.13035905490519759
trouve,1557,0.12994177239909901
valoir,1534,0.1280222728710455
accompagner,1534,0.1280222728710455
refuser,1534,0.1280222728710455
demande,1520,0.12685388185396948
envoyer,1509,0.1259358603405526
souligner,1487,0.12409981731371883
marquer,1480,0.12351562180518082
décrire,1468,0.1225141437905442
apporter,1465,0.12226377428688506
préparer,1453,0.12126229627224847
quitter,1448,0.12084501376614988
parvenir,1433,0.11959316624785413
gagner,1433,0.11959316624785413
avancer,1430,0.11934279674419497
saisir,1422,0.11867514473443724
réunir,1419,0.11842477523077809
propose,1414,0.1180074927246795
identifier,1412,0.11784057972224007
convaincre,1407,0.11742329721614149
montre,1404,0.11717292771248233
tirer,1401,0.11692255820882319
promettre,1390,0.11600453669540631
dépasser,1383,0.11542034118686828
justifier,1378,0.1150030586807697
prévenir,1370,0.11433540667101197
rejoindre,1354,0.1130001026514965
étudier,1348,0.1124993636441782
adopter,1347,0.11241590714295849
exprimer,1318,0.1099956686075867
parle,1307,0.10907764709416981
observer,1290,0.10765888657343463
traiter,1284,0.10715814756611633
multiplier,1284,0.10715814756611633
sembler,1282,0.10699123456367689
associer,1282,0.10699123456367689
appuyer,1282,0.10699123456367689
rencontrer,1278,0.10665740855879803
intervenir,1276,0.10649049555635859
situer,1272,0.10615666955147973
souvenir,1264,0.10548901754172199
suffire,1261,0.10523864803806283
maintenir,1256,0.10482136553196426
pense,1253,0.10457099602830511
oublier,1252,0.1044875395270854
déposer,1247,0.10407025702098681
admettre,1241,0.10356951801366851
continue,1237,0.10323569200878964
signer,1235,0.10306877900635021
effectuer,1230,0.10265149650025163
indique,1230,0.10265149650025163
subir,1227,0.10240112699659247
opposer,1219,0.10173347498683474
conclure,1213,0.10123273597951643
vendre,1212,0.10114927947829672
envisager,1205,0.1005650839697587
essayer,1203,0.10039817096731928
résume,1201,0.10023125796487983
tomber,1198,0.09998088846122069
respecter,1193,0.0995636059551221
lire,1190,0.09931323645146295
préférer,1189,0.09922977995024324
constater,1174,0.09797793243194748
disparaître,1165,0.09722682392097003
adapter,1165,0.09722682392097003
fixer,1165,0.09722682392097003
appliquer,1158,0.09664262841243201
occuper,1153,0.09622534590633343
tourner,1146,0.09564115039779542
arrive,1145,0.0955576938965757
diriger,1141,0.09522386789169683
commettre,1139,0.09505695488925739
gérer,1138,0.09497349838803767
provoquer,1134,0.09463967238315882
destiner,1131,0.09438930287949966
menacer,1130,0.09430584637827995
empêcher,1123,0.09372165086974192
porte,1122,0.0936381943685222
fournir,1106,0.09230289034900674
prononcer,1104,0.09213597734656731
limiter,1100,0.09180215134168844
financer,1096,0.09146832533680957
définir,1090,0.09096758632949127
souhaite,1089,0.09088412982827156
exercer,1086,0.09063376032461241
indiquer,1085,0.09055030382339269
exister,1080,0.0901330213172941
garder,1078,0.08996610831485467
fermer,1069,0.08921499980387722
pousser,1065,0.08888117379899836
aimer,1058,0.08829697829046033
accorder,1056,0.0881300652880209
corriger,1045,0.08721204377460402
acheter,1036,0.08646093526362657
soumettre,1034,0.08629402226118714
obliger,1033,0.08621056575996743
retenir,1033,0.08621056575996743
peser,1032,0.0861271092587477
raconter,1030,0.08596019625630827
réclamer,1030,0.08596019625630827
observe,1027,0.08570982675264911
fonder,1018,0.08495871824167167
transformer,1017,0.08487526174045196
autoriser,1017,0.08487526174045196
imaginer,1015,0.08470834873801251
souffrir,1012,0.08445797923435337
déterminer,1008,0.0841241532294745
entraîner,1007,0.08404069672825479
investir,1000,0.08345650121971676
diffuser,989,0.08253847970629988
lutter,986,0.08228811020264074
modifier,984,0.08212119720020129
réagir,979,0.08170391469410271
constate,975,0.08137008868922385
transmettre,974,0.08128663218800412
disposer,973,0.08120317568678441
contribuer,967,0.08070243667946611
mobiliser,966,0.0806189801782464
qualifier,962,0.08028515417336753
classer,961,0.08020169767214781
remplacer,947,0.07903330665507177
pose,946,0.07894985015385206
insiste,932,0.07778145913677603
représente,930,0.07761454613433659
nourrir,925,0.077197263628238
cesser,924,0.07711380712701829
cacher,919,0.0766965246209197
évaluer,912,0.0761123291123817
rassembler,910,0.07594541610994225
élever,909,0.07586195960872254
améliorer,908,0.07577850310750282
désigner,908,0.07577850310750282
assister,899,0.07502739459652537
lever,898,0.07494393809530565
monter,897,0.07486048159408594
confirme,894,0.07461011209042678
manquer,888,0.07410937308310848
présente,884,0.07377554707822961
susciter,882,0.07360863407579019
contenir,879,0.07335826457213104
inviter,872,0.07277406906359302
percevoir,867,0.07235678655749443
correspondre,867,0.07235678655749443
confronter,861,0.07185604755017613
garantir,860,0.07177259104895642
battre,860,0.07177259104895642
adresser,859,0.0716891345477367
laisse,856,0.07143876504407755
concerne,854,0.07127185204163812
dater,853,0.0711883955404184
favoriser,850,0.07093802603675925
regarder,847,0.0706876565331001
constitue,844,0.07043728702944095
renvoyer,834,0.06960272201724378
composer,834,0.06960272201724378
afficher,834,0.06960272201724378
témoigne,831,0.06935235251358463
intéresser,826,0.06893507000748605
évoluer,824,0.06876815700504661
craindre,823,0.0686847005038269
rejeter,818,0.06826741799772831
nommer,817,0.0681839614965086
enseigner,814,0.06793359199284944
dépendre,813,0.06785013549162973
retirer,813,0.06785013549162973
travaille,810,0.06759976598797059
acquérir,807,0.06734939648431143
enregistrer,804,0.06709902698065227
voilà,802,0.06693211397821285
traduire,799,0.06668174447455369
frapper,798,0.06659828797333397
renoncer,797,0.06651483147211426
appartenir,794,0.06626446196845512
tester,790,0.06593063596357625
exposer,784,0.06542989695625795
mesurer,781,0.06517952745259879
vise,779,0.06501261445015936
réserver,777,0.06484570144771992
regrette,776,0.06476224494650021
baisser,772,0.06442841894162134
informer,771,0.06434496244040162
critiquer,767,0.06401113643552275
profiter,761,0.06351039742820445
priver,760,0.06342694092698474
impliquer,755,0.06300965842088616
retrouve,744,0.06209163690746927
conserver,743,0.06200818040624956
signifier,742,0.06192472390502984
abandonner,741,0.06184126740381012
joue,738,0.06159089790015097
exclure,733,0.06117361539405239
recruter,731,0.06100670239161295
insister,728,0.060756332887953804
spécialiser,725,0.060505963384294655
remplir,723,0.06033905038185522
démontrer,720,0.06008868087819607
témoigner,720,0.06008868087819607
réfléchir,719,0.060005224376976356
importe,714,0.05958794187087777
remonter,714,0.05958794187087777
exiger,707,0.05900374636233975
manger,706,0.05892028986112004
accélérer,704,0.0587533768586806
interpeller,704,0.0587533768586806
émettre,702,0.05858646385624117
analyser,700,0.05841955085380174
attaquer,698,0.0582526378513623
concevoir,696,0.05808572484892287
amener,696,0.05808572484892287
pratiquer,695,0.058002268347703154
contrôler,694,0.05791881184648343
consulter,694,0.05791881184648343
requérir,692,0.057751898844044004
citer,691,0.05766844234282428
employer,686,0.0572511598367257
attirer,685,0.057167703335505984
encourager,682,0.056917333831846835
accéder,681,0.056833877330627114
contester,679,0.056666964328187686
entretenir,678,0.056583507826967964
valider,678,0.056583507826967964
livrer,678,0.056583507826967964
évoque,673,0.05616622532086938
déplacer,666,0.05558202981233137
élire,665,0.055498573311111646
soupçonner,662,0.055248203807452496
sauver,661,0.05516474730623278
suggérer,659,0.05499783430379335
échapper,659,0.05499783430379335
aboutir,655,0.054664008298914483
étendre,644,0.0537459867854976
noter,643,0.05366253028427788
verser,642,0.053579073783058165
vérifier,639,0.053328704279399015
figurer,638,0.053245247778179294
résoudre,633,0.05282796527208071
couvrir,631,0.05266105226964128
assumer,629,0.052494139267201846
impose,628,0.05241068276598213
rapporte,628,0.05241068276598213
cherche,627,0.05232722626476241
