,economie,europe,m-styles,m-actu,politique,afrique,international,disparitions,a-la-une,pixels,archives,asie-pacifique,planete,cinema,m-le-mag,vous,sport,proche-orient,idees,societe,ameriques,culture,livres
p-value,7.5903645460742985e-06,0.0005920950707355363,0.028971321322309545,1.2764337379956673e-07,0.0757869647322188,0.9638624331884161,0.00017765874673535486,0.27661307380572253,0.001079211873524129,0.0377660259804368,4.7118026056674895e-06,0.0008869996815825981,0.034108980197693574,0.003198883798764615,7.099462632831185e-08,5.840086306883162e-08,0.020191112920359588,0.07335937158979378,0.0005031722333786858,0.20637212392034188,3.155642058556061e-06,0.002476225557339705,0.004074793775413908
is_significant,True,True,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,True
