,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
p-value,4.7180458484793146e-05,0.4852645481273157,0.8944995785518235,0.7827671543065143,0.711442185255015,0.00032544516187494774,1.8066956352920226e-06,6.372442982968082e-08,1.6379970701704073e-07,6.62297475389244e-08,5.187216575563647e-08,3.104961723847069e-06,0.009800285377052412,0.15090857932080348,0.10880396612156655,0.07186276396693315,0.09801918046570955,0.005017454942150342,8.32409025816452e-08,7.540389538362267e-08,3.558045309144898e-08,4.126511515569068e-08,3.2141401660639036e-06
is_significant,True,False,False,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True
